id,format,rating,uploadtime
gen7nu-807666411,[Gen 7] NU,1266.0,1537310148
gen7nu-807671667,[Gen 7] NU,1278.0,1537310996
gen7nu-807674354,[Gen 7] NU,1169.0,1537311276
gen7nu-814013513,[Gen 7] NU,1082.0,1538431139
gen7nu-814016437,[Gen 7] NU,1011.0,1538431712
gen7nu-814024528,[Gen 7] NU,1248.0,1538432722
gen7nu-814028625,[Gen 7] NU,1016.0,1538433411
gen7nu-814032173,[Gen 7] NU,1247.0,1538434209
gen7nu-814032423,[Gen 7] NU,1040.0,1538434142
gen7nu-814032612,[Gen 7] NU,1157.0,1538434045
gen7nu-814035097,[Gen 7] NU,1392.0,1538434355
gen7nu-814035232,[Gen 7] NU,1247.0,1538434457
gen7nu-814040622,[Gen 7] NU,1292.0,1538435395
gen7nu-814043629,[Gen 7] NU,1235.0,1538435888
gen7nu-814046641,[Gen 7] NU,1079.0,1538436017
gen7nu-814060358,[Gen 7] NU,1332.0,1538438602
gen7nu-814084332,[Gen 7] NU,1023.0,1538442142
gen7nu-814090270,[Gen 7] NU,1120.0,1538443207
gen7nu-814091853,[Gen 7] NU,1250.0,1538443578
gen7nu-814094826,[Gen 7] NU,1071.0,1538443943
gen7nu-814115105,[Gen 7] NU,1041.0,1538448126
gen7nu-814137641,[Gen 7] NU,1409.0,1538451982
gen7nu-814156512,[Gen 7] NU,1049.0,1538455904
gen7nu-814157027,[Gen 7] NU,1256.0,1538456207
gen7nu-814159291,[Gen 7] NU,1143.0,1538456570
gen7nu-814162844,[Gen 7] NU,1030.0,1538457615
gen7nu-814164478,[Gen 7] NU,1021.0,1538458159
gen7nu-814165549,[Gen 7] NU,1294.0,1538458350
gen7nu-814174084,[Gen 7] NU,1064.0,1538460850
gen7nu-814178102,[Gen 7] NU,1051.0,1538462414
gen7nu-814205992,[Gen 7] NU,1186.0,1538471315
gen7nu-814213667,[Gen 7] NU,1055.0,1538473629
gen7nu-814218342,[Gen 7] NU,1316.0,1538475125
gen7nu-814218511,[Gen 7] NU,1173.0,1538474665
gen7nu-814275482,[Gen 7] NU,1349.0,1538488275
gen7nu-814296403,[Gen 7] NU,1355.0,1538491153
gen7nu-814312391,[Gen 7] NU,1165.0,1538493325
gen7nu-814367832,[Gen 7] NU,1342.0,1538500780
gen7nu-814380307,[Gen 7] NU,1103.0,1538502227
gen7nu-814382359,[Gen 7] NU,1018.0,1538502859
